,name,location,hospital,bus,mall,subway,school,officeBuild,to_center_distance
2266,轻工大楼,"{'lat': 31.203108, 'lng': 121.465608}",59.0,40.0,5.0,5.0,104.0,77.0,3872.3920415978137
2267,龙南四村,"{'lat': 31.161197, 'lng': 121.461821}",7.0,13.0,1.0,2.0,10.0,8.0,8442.358814311485
2268,长桥六村,"{'lat': 31.139005, 'lng': 121.442889}",15.0,32.0,1.0,0.0,41.0,2.0,11308.937422695313
2269,长桥二村,"{'lat': 31.143042, 'lng': 121.44755}",16.0,33.0,0.0,0.0,35.0,2.0,10744.769209724185
2270,平福小区,"{'lat': 31.14641, 'lng': 121.4544}",5.0,21.0,0.0,0.0,30.0,7.0,10206.223514557994
2271,长桥新村,"{'lat': 31.14421, 'lng': 121.446918}",15.0,33.0,0.0,0.0,36.0,3.0,10639.072427270816
2272,天然居,"{'lat': 31.150337, 'lng': 121.45204}",2.0,23.0,0.0,0.0,30.0,6.0,9844.671276561183
2273,华发小区,"{'lat': 31.134425, 'lng': 121.458836}",5.0,18.0,0.0,0.0,16.0,3.0,11415.778397175625
2274,长青坊,"{'lat': 31.160447, 'lng': 121.42417}",16.0,31.0,0.0,1.0,113.0,13.0,9931.741839778631
2275,体育花苑,"{'lat': 31.149305, 'lng': 121.436939}",12.0,35.0,0.0,1.0,190.0,11.0,10445.762908637806
2276,百色路133弄小区,"{'lat': 31.149383, 'lng': 121.454092}",3.0,21.0,0.0,0.0,28.0,8.0,9893.981340835431
2277,舒乐小区,"{'lat': 31.13726, 'lng': 121.442008}",14.0,31.0,1.0,0.0,35.0,1.0,11519.642208171581
2278,汇成四村,"{'lat': 31.14982, 'lng': 121.441649}",10.0,33.0,0.0,0.0,140.0,11.0,10220.348935724835
2279,梅陇路3号,"{'lat': 31.14769, 'lng': 121.434034}",12.0,35.0,1.0,0.0,193.0,10.0,10722.909703678944
2280,康健路24弄,"{'lat': 31.171758, 'lng': 121.437601}",22.0,32.0,3.0,1.0,74.0,52.0,8189.628609088086
2281,中科小区（徐汇）,"{'lat': 31.200607, 'lng': 121.45102}",78.0,50.0,9.0,7.0,155.0,110.0,4804.775508104214
2282,百乐公寓,"{'lat': 31.205309, 'lng': 121.466011}",54.0,38.0,5.0,5.0,94.0,92.0,3631.9902733168396
2283,伊泰利大厦,"{'lat': 31.208173, 'lng': 121.461615}",63.0,48.0,5.0,4.0,110.0,91.0,3542.031570028998
2284,瑞嘉公寓,"{'lat': 31.20949, 'lng': 121.471595}",55.0,36.0,7.0,3.0,75.0,129.0,3010.118206798756
2285,武康路280弄（公房）,"{'lat': 31.213651, 'lng': 121.444384}",51.0,46.0,2.0,4.0,95.0,88.0,4243.8235936380715
2286,斜土路1212弄,"{'lat': 31.205803, 'lng': 121.472142}",45.0,37.0,6.0,4.0,55.0,125.0,3389.766570798592
2287,东安花苑,"{'lat': 31.192562, 'lng': 121.46228}",41.0,29.0,4.0,3.0,50.0,53.0,5079.5062836945835
2288,宛龙小区,"{'lat': 31.188446, 'lng': 121.458866}",32.0,35.0,3.0,4.0,38.0,59.0,5624.153243840302
2289,丁家弄小区,"{'lat': 31.217628, 'lng': 121.461348}",78.0,45.0,4.0,5.0,89.0,115.0,2720.866344060732
2290,康健路1号,"{'lat': 31.172011, 'lng': 121.440242}",32.0,34.0,3.0,3.0,33.0,53.0,8040.902249256884
2291,钦州大厦,"{'lat': 31.167842, 'lng': 121.437811}",21.0,33.0,3.0,2.0,61.0,43.0,8558.542105426173
2292,龙南七村,"{'lat': 31.164573, 'lng': 121.459623}",9.0,16.0,1.0,5.0,12.0,9.0,8126.48009684468
2293,园南一村,"{'lat': 31.147179, 'lng': 121.446559}",9.0,30.0,0.0,0.0,36.0,3.0,10336.061768406247
2294,东航小区,"{'lat': 31.188187, 'lng': 121.458423}",32.0,35.0,3.0,6.0,39.0,60.0,5666.770100286001
2295,陕西南路492号,"{'lat': 31.21647, 'lng': 121.467909}",82.0,37.0,12.0,3.0,112.0,132.0,2442.74389119611
2296,钦江路47弄,"{'lat': 31.182871, 'lng': 121.419427}",19.0,35.0,2.0,1.0,25.0,66.0,8272.447194833956
2297,小木桥路101弄,"{'lat': 31.205935, 'lng': 121.463374}",56.0,42.0,4.0,5.0,110.0,92.0,3676.442633689659
2298,桂梅别墅（公寓）,"{'lat': 31.16247, 'lng': 121.414962}",18.0,29.0,0.0,1.0,75.0,41.0,10256.84837643992
2299,西雅图嘉萱苑,"{'lat': 31.172527, 'lng': 121.443416}",30.0,30.0,3.0,3.0,29.0,47.0,7848.217111914009
2300,园南二村,"{'lat': 31.146226, 'lng': 121.449104}",10.0,29.0,0.0,0.0,35.0,3.0,10362.830598950204
2301,华苑大厦,"{'lat': 31.188296, 'lng': 121.439622}",29.0,41.0,4.0,5.0,48.0,111.0,6550.3771078965065
2302,沪华公寓,"{'lat': 31.170333, 'lng': 121.439805}",22.0,33.0,3.0,2.0,33.0,47.0,8224.502603461366
2303,太原路76号,"{'lat': 31.213805, 'lng': 121.46103}",60.0,53.0,7.0,6.0,93.0,100.0,3060.9552558751284
2304,丝庐花语,"{'lat': 31.200968, 'lng': 121.472983}",31.0,31.0,3.0,3.0,42.0,92.0,3895.640054576247
2305,零陵路289弄,"{'lat': 31.199038, 'lng': 121.464669}",62.0,36.0,6.0,4.0,102.0,64.0,4325.752895280679
2306,徐虹路110弄,"{'lat': 31.199969, 'lng': 121.436962}",40.0,40.0,7.0,6.0,138.0,109.0,5751.803747445876
2307,音苑小区,"{'lat': 31.218468, 'lng': 121.45966}",80.0,46.0,4.0,4.0,91.0,110.0,2770.296831098373
2308,田林一村,"{'lat': 31.175784, 'lng': 121.425118}",16.0,37.0,2.0,3.0,117.0,53.0,8496.170882840323
2309,宛南六村,"{'lat': 31.186054, 'lng': 121.453116}",28.0,40.0,3.0,8.0,41.0,69.0,6090.081287082951
2310,儿科大楼,"{'lat': 31.204395, 'lng': 121.463714}",58.0,42.0,5.0,4.0,104.0,91.0,3815.1968784720557
2311,日晖新城,"{'lat': 31.202325, 'lng': 121.471884}",37.0,34.0,3.0,3.0,45.0,105.0,3770.901500223901
2312,漕溪二村,"{'lat': 31.178074, 'lng': 121.44364}",43.0,37.0,5.0,5.0,24.0,57.0,7294.594593259165
2313,宛南四村,"{'lat': 31.188104, 'lng': 121.456398}",36.0,35.0,3.0,6.0,40.0,68.0,5751.366134408846
2314,文馨苑,"{'lat': 31.168651, 'lng': 121.429664}",18.0,37.0,1.0,2.0,133.0,41.0,8882.216045172987
2315,龙漕路66弄,"{'lat': 31.174766, 'lng': 121.444038}",38.0,29.0,3.0,3.0,28.0,53.0,7599.972812546973
2316,麦克花园（别墅）,"{'lat': 31.154469, 'lng': 121.435167}",10.0,26.0,1.0,2.0,167.0,10.0,9995.337760495335
2317,秀山支路5弄,"{'lat': 31.20331, 'lng': 121.436586}",43.0,41.0,6.0,5.0,142.0,112.0,5532.020697616636
2318,海螺花园,"{'lat': 31.19713, 'lng': 121.453175}",66.0,53.0,10.0,6.0,101.0,113.0,5008.668051378032
2319,凯华公寓,"{'lat': 31.188738, 'lng': 121.438167}",32.0,35.0,4.0,5.0,50.0,100.0,6596.045079716997
2320,复兴中路1248弄,"{'lat': 31.21937, 'lng': 121.464899}",101.0,38.0,12.0,4.0,88.0,123.0,2349.9986036269042
2321,大木桥路325号,"{'lat': 31.203142, 'lng': 121.46878}",47.0,36.0,5.0,4.0,78.0,99.0,3764.092304142831
2322,爱中爱华公寓,"{'lat': 31.19245, 'lng': 121.456112}",48.0,38.0,6.0,5.0,49.0,86.0,5326.155371490221
2323,锦岩小区,"{'lat': 31.213725, 'lng': 121.462488}",56.0,48.0,7.0,5.0,93.0,105.0,2983.470044294285
2324,金浦大楼,"{'lat': 31.181748, 'lng': 121.443055}",41.0,36.0,3.0,6.0,38.0,68.0,6969.806033522574
2325,陕南公寓,"{'lat': 31.216528, 'lng': 121.467647}",82.0,35.0,12.0,3.0,108.0,133.0,2450.1693491322408
2326,淮海中路1751号,"{'lat': 31.212474, 'lng': 121.448073}",40.0,52.0,2.0,6.0,127.0,72.0,4040.8631994768216
2327,衡山路259号,"{'lat': 31.210595, 'lng': 121.452766}",57.0,54.0,2.0,3.0,105.0,55.0,3850.453960816737
2328,武康路106弄,"{'lat': 31.217626, 'lng': 121.446885}",97.0,45.0,2.0,5.0,76.0,111.0,3804.0910441146307
2329,东安五村,"{'lat': 31.190569, 'lng': 121.458602}",44.0,40.0,4.0,3.0,43.0,72.0,5416.0762289174745
2330,锦馨公寓,"{'lat': 31.196269, 'lng': 121.424304}",36.0,30.0,4.0,3.0,40.0,81.0,6931.722763810801
2331,欣嘉苑,"{'lat': 31.186812, 'lng': 121.416346}",7.0,28.0,3.0,1.0,13.0,71.0,8187.7640988051335
2332,康佳苑,"{'lat': 31.155225, 'lng': 121.438209}",7.0,26.0,1.0,2.0,166.0,15.0,9795.704298765384
2333,康健星辰,"{'lat': 31.159896, 'lng': 121.425135}",15.0,31.0,0.0,1.0,118.0,11.0,9933.633334320968
2334,景泰大厦,"{'lat': 31.205938, 'lng': 121.471633}",45.0,37.0,8.0,5.0,53.0,126.0,3387.8353017497525
2335,广汇花苑,"{'lat': 31.197833, 'lng': 121.461197}",70.0,42.0,5.0,4.0,103.0,80.0,4577.54768986655
2336,康沁苑,"{'lat': 31.168785, 'lng': 121.430667}",19.0,37.0,1.0,2.0,130.0,46.0,8817.48973060257
2337,阳光四季公寓,"{'lat': 31.21115, 'lng': 121.465081}",70.0,46.0,6.0,4.0,106.0,98.0,3089.2177320228107
2338,金星苑,"{'lat': 31.202272, 'lng': 121.463435}",59.0,39.0,6.0,4.0,110.0,84.0,4040.132715174321
2339,上影新村,"{'lat': 31.20723, 'lng': 121.467998}",54.0,39.0,7.0,3.0,87.0,101.0,3362.1870668748174
2340,斜土路1220号,"{'lat': 31.205478, 'lng': 121.471807}",43.0,35.0,7.0,4.0,52.0,124.0,3432.843957973977
2341,佳信徐汇公寓,"{'lat': 31.179544, 'lng': 121.444039}",43.0,35.0,4.0,5.0,28.0,58.0,7133.592957645595
2342,罗秀三村,"{'lat': 31.141, 'lng': 121.452202}",9.0,28.0,0.0,0.0,38.0,6.0,10841.059239172573
2343,长海坊,"{'lat': 31.163087, 'lng': 121.424901}",14.0,31.0,0.0,2.0,116.0,18.0,9648.289291717803
2344,舒乐公寓,"{'lat': 31.137608, 'lng': 121.441494}",13.0,30.0,1.0,0.0,38.0,1.0,11498.96968969257
2345,汇成三村,"{'lat': 31.150342, 'lng': 121.440343}",11.0,34.0,1.0,1.0,167.0,12.0,10212.937302812574
2346,长桥八村,"{'lat': 31.138366, 'lng': 121.446455}",15.0,28.0,1.0,0.0,30.0,2.0,11272.328455502777
2347,光华绿苑,"{'lat': 31.117501, 'lng': 121.459474}",4.0,22.0,1.0,0.0,13.0,2.0,13259.924859148528
2348,长顺坊,"{'lat': 31.161429, 'lng': 121.425652}",15.0,35.0,0.0,2.0,118.0,13.0,9763.487601864925
2349,长桥一村,"{'lat': 31.142946, 'lng': 121.443515}",18.0,36.0,1.0,0.0,93.0,5.0,10875.164936006353
2350,陕西南路372号,"{'lat': 31.22002, 'lng': 121.466724}",96.0,34.0,13.0,4.0,102.0,121.0,2183.0779055043877
2351,上影公寓,"{'lat': 31.190882, 'lng': 121.447485}",35.0,47.0,7.0,5.0,49.0,97.0,5885.430747465554
2352,兴都大楼,"{'lat': 31.197145, 'lng': 121.451999}",62.0,48.0,10.0,6.0,109.0,110.0,5067.532847266412
2353,徐汇御苑,"{'lat': 31.199309, 'lng': 121.460574}",73.0,42.0,5.0,5.0,102.0,83.0,4454.376649475214
2354,嘉善路232弄,"{'lat': 31.214234, 'lng': 121.465762}",69.0,39.0,8.0,5.0,102.0,116.0,2761.4135563730606
